00:00:16.927 [scheduling-1] INFO  c.f.s.DailyScheduled - [morningCheck,24] - 开始进行晨检......
10:02:39.637 [main] INFO  c.f.FuckwzxyApplication - [logStarting,55] - Starting FuckwzxyApplication on DESKTOP-KSVGB5Q with PID 9396 (E:\fuckwzxy\target\classes started by Dakuang in E:\fuckwzxy)
10:02:39.639 [main] INFO  c.f.FuckwzxyApplication - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
10:02:41.317 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 8888 (http)
10:02:41.328 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8888"]
10:02:41.329 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
10:02:41.329 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.38]
10:02:41.331 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
10:02:41.331 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
10:02:41.331 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
10:02:41.336 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
10:02:41.440 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
10:02:41.440 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,285] - Root WebApplicationContext: initialization completed in 1719 ms
10:02:42.334 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
10:02:42.574 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
10:02:42.618 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8888"]
10:02:42.646 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [start,220] - Tomcat started on port(s): 8888 (http) with context path ''
10:02:42.665 [main] INFO  c.f.FuckwzxyApplication - [logStarted,61] - Started FuckwzxyApplication in 3.817 seconds (JVM running for 5.526)
10:03:41.720 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:03:41.721 [http-nio-8888-exec-1] INFO  o.s.w.s.DispatcherServlet - [initServletBean,525] - Initializing Servlet 'dispatcherServlet'
10:03:41.728 [http-nio-8888-exec-1] INFO  o.s.w.s.DispatcherServlet - [initServletBean,547] - Completed initialization in 7 ms
10:03:41.883 [http-nio-8888-exec-1] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
10:03:42.123 [http-nio-8888-exec-1] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
10:03:43.508 [http-nio-8888-exec-1] INFO  c.f.s.i.UserServiceImpl - [updateUser,89] - http-nio-8888-exec-1
10:03:43.510 [http-nio-8888-exec-1] INFO  c.f.s.i.UserServiceImpl - [helper,119] - http-nio-8888-exec-1
